Sum of Rpt Dist No,AREA NAME,LOCATION
1259,77th Street,7300    TOWNE                        AV
1259,77th Street,7300    WADSWORTH                    AV
35198,77th Street,7300 S  BROADWAY
1255,77th Street,7300 S  BUDLONG                      AV
15108,77th Street,7300 S  CENTRAL                      AV
1255,77th Street,7300 S  DALTON                       AV
3763,77th Street,7300 S  DENKER                       AV
85408,77th Street,7300 S  FIGUEROA                     ST
1256,77th Street,7300 S  FLOWER                       ST
1255,77th Street,7300 S  HALF NORMANDIE               ST
12550,77th Street,7300 S  HALLDALE                     AV
3759,77th Street,7300 S  HARVARD                      BL
15036,77th Street,7300 S  HOBART                       BL
35168,77th Street,7300 S  HOOVER                       ST
6290,77th Street,7300 S  MAIN                         ST
20080,77th Street,7300 S  NORMANDIE                    AV
31467,77th Street,7300 S  SAN PEDRO                    ST
6265,77th Street,7300 S  ST ANDREWS                   PL
3758,77th Street,7300 S  VAN NESS                     AV
35165,77th Street,7300 S  VERMONT                      AV
3753,77th Street,7300 S  VICTORIA                     AV
139083,77th Street,7300 S  WESTERN                      AV
23859,77th Street,73RD
211117,77th Street,73RD                         ST
1252,77th Street,7400    7TH                          AV
2502,77th Street,7400    8TH                          AV
21403,77th Street,7400    AVALON                       BL
1255,77th Street,7400    BRIGHTON                     AV
27522,77th Street,7400    CRENSHAW                     BL
10040,77th Street,7400    DALTON                       AV
1243,77th Street,7400    HAAS
2510,77th Street,7400    HALLDALE                     AV
6265,77th Street,7400    LA SALLE                     AV
1259,77th Street,7400    MCKINLEY                     AV
3777,77th Street,7400    STANFORD                     AV
1259,77th Street,7400    TOWNE                        AV
2518,77th Street,7400    WADSWORTH                    AV
38968,77th Street,7400 S  BROADWAY
1255,77th Street,7400 S  BUDLONG                      AV
3777,77th Street,7400 S  CENTRAL                      AV
17566,77th Street,7400 S  DENKER                       AV
60288,77th Street,7400 S  FIGUEROA                     ST
1256,77th Street,7400 S  GRAND                        AV
15060,77th Street,7400 S  HALLDALE                     AV
13783,77th Street,7400 S  HARVARD                      BL
8771,77th Street,7400 S  HOBART                       BL
33912,77th Street,7400 S  HOOVER                       ST
59126,77th Street,7400 S  MAIN                         ST
5020,77th Street,7400 S  NORMANDIE                    AV
28947,77th Street,7400 S  SAN PEDRO                    ST
56519,77th Street,7400 S  VERMONT                      AV
22554,77th Street,7400 S  WESTERN                      AV
11295,77th Street,74TH
184759,77th Street,74TH                         ST
1251,77th Street,7500    8TH                          AV
32734,77th Street,7500    AVALON                       BL
17570,77th Street,7500    BRIGHTON                     AV
26271,77th Street,7500    CRENSHAW                     BL
18825,77th Street,7500    DALTON                       AV
1255,77th Street,7500    HALLDALE                     AV
6275,77th Street,7500    KANSAS                       AV
7518,77th Street,7500    LA SALLE                     AV
10040,77th Street,7500    RAYMOND                      AV
2518,77th Street,7500    STANFORD                     AV
5036,77th Street,7500    TOWNE                        AV
3777,77th Street,7500    WADSWORTH                    AV
54038,77th Street,7500 S  BROADWAY
25180,77th Street,7500 S  CENTRAL                      AV
1255,77th Street,7500 S  DALTON                       AV
15046,77th Street,7500 S  DENKER                       AV
56529,77th Street,7500 S  FIGUEROA                     ST
1256,77th Street,7500 S  FLOWER                       ST
2512,77th Street,7500 S  GRAND                        AV
3765,77th Street,7500 S  HALLDALE                     AV
8771,77th Street,7500 S  HARVARD                      BL
18795,77th Street,7500 S  HOBART                       BL
30144,77th Street,7500 S  HOOVER                       ST
13838,77th Street,7500 S  MAIN                         ST
8785,77th Street,7500 S  NORMANDIE                    AV
60402,77th Street,7500 S  SAN PEDRO                    ST
15069,77th Street,7500 S  VERMONT                      AV
16289,77th Street,7500 S  WESTERN                      AV
20106,77th Street,75TH
160843,77th Street,75TH                         ST
1259,77th Street,7600    76TH                         ST
1251,77th Street,7600    8TH                          AV
21403,77th Street,7600    AVALON                       BL
7530,77th Street,7600    BRIGHTON                     AV
6255,77th Street,7600    CRENSHAW                     BL
6275,77th Street,7600    DALTON                       AV
5012,77th Street,7600    LA SALLE                     AV
15108,77th Street,7600    MCKINLEY                     AV
2518,77th Street,7600    STANFORD                     AV
5036,77th Street,7600    TOWNE                        AV
7554,77th Street,7600    WADSWORTH                    AV
460399,77th Street,7600 S  BROADWAY
15108,77th Street,7600 S  CENTRAL                      AV
10034,77th Street,7600 S  DENKER                       AV
70392,77th Street,7600 S  FIGUEROA                     ST
1257,77th Street,7600 S  FLOWER                       ST
2514,77th Street,7600 S  GRAND                        AV
8785,77th Street,7600 S  HALLDALE                     AV
6265,77th Street,7600 S  HARVARD                      BL
16289,77th Street,7600 S  HOBART                       BL
31425,77th Street,7600 S  HOOVER                       ST
23902,77th Street,7600 S  MAIN                         ST
6275,77th Street,7600 S  NORMANDIE                    AV
112031,77th Street,7600 S  SAN PEDRO                    ST
48991,77th Street,7600 S  VERMONT                      AV
65156,77th Street,7600 S  WESTERN                      AV
25147,77th Street,76TH
20148,77th Street,76TH                         PL
276502,77th Street,76TH                         ST
2502,77th Street,7700    8TH                          AV
20144,77th Street,7700    AVALON                       BL
8785,77th Street,7700    BRIGHTON                     AV
5004,77th Street,7700    CRENSHAW                     BL
5020,77th Street,7700    DALTON                       AV
6265,77th Street,7700    LA SALLE                     AV
6295,77th Street,7700    MCKINLEY                     AV
3777,77th Street,7700    STANFORD                     AV
6295,77th Street,7700    WADSWORTH                    AV
37724,77th Street,7700 S  BROADWAY
25180,77th Street,7700 S  CENTRAL                      AV
2510,77th Street,7700 S  DALTON                       AV
10036,77th Street,7700 S  DENKER                       AV
17598,77th Street,7700 S  FIGUEROA                     ST
2514,77th Street,7700 S  GRAND                        AV
